epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,169.64,1.71953,0.89806,1.2539,0.85671,0.85415,0.83537,0.37727,2.18714,1.12078,1.36011,0.0011684,0.0011684,0.0011684
44,173.872,1.68522,0.833,1.23692,0.9283,0.875,0.90349,0.39603,2.39099,1.0625,1.41148,0.0011486,0.0011486,0.0011486
45,178.112,1.69584,0.78866,1.23081,0.93845,0.82143,0.90376,0.37804,2.24227,1.0485,1.35732,0.0011288,0.0011288,0.0011288
46,182.11,1.72633,0.83711,1.23048,0.9304,0.80357,0.87056,0.37471,2.275,1.32067,1.36588,0.001109,0.001109,0.001109
47,185.679,1.76809,0.82502,1.25338,0.89435,0.907,0.90914,0.41037,2.25603,1.04781,1.35963,0.0010892,0.0010892,0.0010892
48,189.114,1.6942,0.83641,1.22773,0.91821,0.80357,0.86522,0.36562,2.28016,1.17816,1.37215,0.0010694,0.0010694,0.0010694
49,192.488,1.73332,0.8301,1.24707,0.95732,0.80109,0.86494,0.36468,2.35702,1.19013,1.41601,0.0010496,0.0010496,0.0010496
50,196.026,1.70419,0.80466,1.23909,0.95984,0.8537,0.90804,0.39736,2.21779,1.01785,1.34261,0.0010298,0.0010298,0.0010298
51,199.408,1.66701,0.81425,1.22996,0.97822,0.80201,0.87601,0.38633,2.27906,1.0347,1.35972,0.00101,0.00101,0.00101
52,202.96,1.70042,0.79875,1.20077,0.92697,0.90665,0.9461,0.41381,2.3342,1.00756,1.40444,0.0009902,0.0009902,0.0009902
53,206.518,1.62989,0.79077,1.1766,0.93603,0.80357,0.89219,0.37671,2.35193,1.03168,1.41449,0.0009704,0.0009704,0.0009704
54,209.833,1.71544,0.78839,1.21936,0.9428,0.82143,0.87593,0.38072,2.25893,1.10892,1.37,0.0009506,0.0009506,0.0009506
55,213.196,1.67077,0.8005,1.21173,0.97088,0.83929,0.92555,0.41823,2.23645,1.20524,1.3274,0.0009308,0.0009308,0.0009308
56,216.755,1.6811,0.83378,1.20296,0.91165,0.92857,0.94145,0.37124,2.23041,1.02163,1.36003,0.000911,0.000911,0.000911
57,220.304,1.61517,0.75862,1.18418,0.91598,0.80357,0.85316,0.38092,2.17593,0.99051,1.34069,0.0008912,0.0008912,0.0008912
58,223.697,1.70378,0.77328,1.22498,0.92371,0.96429,0.9628,0.39085,2.15399,0.9732,1.32806,0.0008714,0.0008714,0.0008714
59,227.069,1.66695,0.78938,1.22275,0.90142,0.78571,0.84908,0.3741,2.20762,1.04548,1.33265,0.0008516,0.0008516,0.0008516
60,230.362,1.66231,0.78719,1.18313,0.97844,0.83929,0.91836,0.37768,2.19252,1.07741,1.32019,0.0008318,0.0008318,0.0008318
61,233.756,1.68025,0.77619,1.21498,0.94648,0.80357,0.86575,0.37651,2.20535,1.02204,1.35562,0.000812,0.000812,0.000812
62,237.282,1.66574,0.79522,1.2009,0.99105,0.83929,0.93675,0.38226,2.19938,1.0632,1.33906,0.0007922,0.0007922,0.0007922
63,240.585,1.59838,0.73818,1.21243,0.95185,0.80357,0.8732,0.38699,2.21737,1.06333,1.32801,0.0007724,0.0007724,0.0007724
64,244.022,1.62797,0.71748,1.1937,0.90958,0.89822,0.9355,0.37869,2.32689,1.0761,1.39292,0.0007526,0.0007526,0.0007526
65,247.522,1.63909,0.73125,1.18823,0.9787,0.83929,0.91995,0.40063,2.22988,1.04059,1.34442,0.0007328,0.0007328,0.0007328
66,251.071,1.62187,0.74077,1.20507,0.99047,0.83929,0.93682,0.40998,2.19393,1.02706,1.33913,0.000713,0.000713,0.000713
67,254.391,1.62009,0.75393,1.14765,0.98476,0.83929,0.93487,0.39825,2.19424,1.08111,1.32661,0.0006932,0.0006932,0.0006932
68,257.755,1.66015,0.75626,1.20603,0.95284,0.82143,0.90799,0.38579,2.19814,1.10431,1.31741,0.0006734,0.0006734,0.0006734
69,261.145,1.62566,0.73093,1.17003,0.87437,0.92857,0.92571,0.38148,2.23161,1.21043,1.33709,0.0006536,0.0006536,0.0006536
70,264.494,1.58264,0.70031,1.17463,0.8814,0.92857,0.91159,0.40172,2.30213,1.12868,1.36206,0.0006338,0.0006338,0.0006338
71,267.879,1.57003,0.68742,1.17085,1,0.83771,0.94313,0.39258,2.27771,0.99907,1.35625,0.000614,0.000614,0.000614
